id,name,Overall_winRate,T_winRate,J_winRate,M_winRate,B_winRate,U_winRate,T_sum,T_win,J_sum,J_win,M_sum,M_win,B_sum,B_win,U_sum,U_win,Overall_sum,Overall_win
80,Pantheon,50.68,52.83,50.0,53.98,40.0,44.87,424.0,224.0,32.0,16.0,226.0,122.0,10.0,4.0,263.0,118.0,955.0,484.0
81,Ezreal,48.09,55.56,75.0,43.48,48.12,60.0,9.0,5.0,4.0,3.0,92.0,40.0,7197.0,3463.0,5.0,3.0,7307.0,3514.0
82,Mordekaiser,49.03,48.66,50.82,50.81,66.67,50.0,1644.0,800.0,183.0,93.0,124.0,63.0,3.0,2.0,4.0,2.0,1958.0,960.0
83,Yorick,48.21,47.84,40.0,57.14,100.0,0.0,370.0,177.0,5.0,2.0,14.0,8.0,1.0,1.0,0.0,0.0,390.0,188.0
84,Akali,48.77,47.1,0.0,49.65,0.0,50.0,775.0,365.0,0.0,0.0,1573.0,781.0,2.0,0.0,2.0,1.0,2352.0,1147.0
85,Kennen,48.05,47.52,0.0,54.08,33.33,20.0,505.0,240.0,0.0,0.0,98.0,53.0,3.0,1.0,10.0,2.0,616.0,296.0
86,Garen,51.76,50.53,85.0,55.12,62.5,0.0,952.0,481.0,20.0,17.0,127.0,70.0,8.0,5.0,0.0,0.0,1107.0,573.0
89,Leona,45.68,50.0,0.0,100.0,0.0,45.75,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,977.0,447.0,983.0,449.0
90,Malzahar,51.01,68.42,0.0,50.78,0.0,42.86,19.0,13.0,1.0,0.0,514.0,261.0,2.0,0.0,7.0,3.0,543.0,277.0
91,Talon,50.46,60.61,50.46,50.12,100.0,25.0,33.0,20.0,1076.0,543.0,838.0,420.0,1.0,1.0,4.0,1.0,1952.0,985.0
92,Riven,53.46,53.82,47.06,48.15,100.0,100.0,1388.0,747.0,17.0,8.0,108.0,52.0,2.0,2.0,2.0,2.0,1517.0,811.0
96,Kog'Maw,51.82,50.0,0.0,41.86,52.82,0.0,8.0,4.0,0.0,0.0,86.0,36.0,1028.0,543.0,3.0,0.0,1125.0,583.0
98,Shen,54.89,54.96,40.0,48.28,60.0,60.0,1199.0,659.0,5.0,2.0,29.0,14.0,5.0,3.0,30.0,18.0,1268.0,696.0
99,Lux,45.82,14.29,0.0,47.44,48.75,44.15,7.0,1.0,1.0,0.0,1035.0,491.0,80.0,39.0,992.0,438.0,2115.0,969.0
101,Xerath,48.36,100.0,0.0,49.86,47.06,46.85,1.0,1.0,0.0,0.0,710.0,354.0,85.0,40.0,666.0,312.0,1462.0,707.0
102,Shyvana,48.73,48.76,49.21,33.33,0.0,0.0,322.0,157.0,571.0,281.0,12.0,4.0,0.0,0.0,2.0,0.0,907.0,442.0
