champion1,id1,champion2,id2,combo
Xin Zhao,5,Morgana,25,0
Xin Zhao,5,Zilean,26,0
Xin Zhao,5,Singed,27,0
Xin Zhao,5,Evelynn,28,0
Xin Zhao,5,Twitch,29,0
Xin Zhao,5,Karthus,30,0
Xin Zhao,5,Cho'Gath,31,0
Xin Zhao,5,Amumu,32,0
Xin Zhao,5,Rammus,33,0
Xin Zhao,5,Anivia,34,0
Xin Zhao,5,Shaco,35,0
Xin Zhao,5,Dr. Mundo,36,0
Xin Zhao,5,Sona,37,0
Xin Zhao,5,Kassadin,38,0
Xin Zhao,5,Irelia,39,0
Xin Zhao,5,Janna,40,0
Xin Zhao,5,Gangplank,41,0
Xin Zhao,5,Corki,42,0
Xin Zhao,5,Karma,43,0
Xin Zhao,5,Taric,44,0
Xin Zhao,5,Veigar,45,0
Xin Zhao,5,Trundle,48,0
Xin Zhao,5,Swain,50,0
Xin Zhao,5,Caitlyn,51,0
Xin Zhao,5,Blitzcrank,53,0
Xin Zhao,5,Malphite,54,0
Xin Zhao,5,Katarina,55,0
Xin Zhao,5,Nocturne,56,0
Xin Zhao,5,Maokai,57,0
Xin Zhao,5,Renekton,58,0
Xin Zhao,5,Jarvan IV,59,0
Xin Zhao,5,Elise,60,0
Xin Zhao,5,Orianna,61,0
Xin Zhao,5,Wukong,62,0
Xin Zhao,5,Brand,63,0
Xin Zhao,5,Lee Sin,64,0
Xin Zhao,5,Vayne,67,0
Xin Zhao,5,Rumble,68,0
Xin Zhao,5,Cassiopeia,69,0
Xin Zhao,5,Skarner,72,0
Xin Zhao,5,Heimerdinger,74,0
Xin Zhao,5,Nasus,75,0
Xin Zhao,5,Nidalee,76,0
Xin Zhao,5,Udyr,77,0
Xin Zhao,5,Poppy,78,0
Xin Zhao,5,Gragas,79,0
Xin Zhao,5,Pantheon,80,0
Xin Zhao,5,Ezreal,81,0
Xin Zhao,5,Mordekaiser,82,0
Xin Zhao,5,Yorick,83,0
Xin Zhao,5,Akali,84,0
Xin Zhao,5,Kennen,85,0
Xin Zhao,5,Garen,86,0
Xin Zhao,5,Leona,89,0
Xin Zhao,5,Malzahar,90,0
Xin Zhao,5,Talon,91,0
Xin Zhao,5,Riven,92,0
Xin Zhao,5,Kog'Maw,96,0
Xin Zhao,5,Shen,98,0
Xin Zhao,5,Lux,99,0
Xin Zhao,5,Xerath,101,0
Xin Zhao,5,Shyvana,102,0
Xin Zhao,5,Ahri,103,0
Xin Zhao,5,Graves,104,0
Xin Zhao,5,Fizz,105,0
Xin Zhao,5,Volibear,106,0
Xin Zhao,5,Rengar,107,0
Xin Zhao,5,Varus,110,0
Xin Zhao,5,Nautilus,111,0
Xin Zhao,5,Viktor,112,0
Xin Zhao,5,Sejuani,113,0
Xin Zhao,5,Fiora,114,0
Xin Zhao,5,Ziggs,115,0
Xin Zhao,5,Lulu,117,0
Xin Zhao,5,Draven,119,0
Xin Zhao,5,Hecarim,120,0
Xin Zhao,5,Kha'Zix,121,0
Xin Zhao,5,Darius,122,0
Xin Zhao,5,Jayce,126,0
Xin Zhao,5,Lissandra,127,0
Xin Zhao,5,Diana,131,0
Xin Zhao,5,Quinn,133,0
Xin Zhao,5,Syndra,134,0
Xin Zhao,5,Aurelion Sol,136,0
Xin Zhao,5,Kayn,141,0
Xin Zhao,5,Zoe,142,0
Xin Zhao,5,Zyra,143,0
Xin Zhao,5,Kai'Sa,145,0
Xin Zhao,5,Seraphine,147,0
Xin Zhao,5,Gnar,150,0
Xin Zhao,5,Zac,154,0
Xin Zhao,5,Yasuo,157,0
Xin Zhao,5,Vel'Koz,161,0
Xin Zhao,5,Taliyah,163,0
Xin Zhao,5,Camille,164,0
Xin Zhao,5,Akshan,166,0
Xin Zhao,5,Bel'Veth,200,0
Xin Zhao,5,Braum,201,0
Xin Zhao,5,Jhin,202,0
Xin Zhao,5,Kindred,203,0
Xin Zhao,5,Zeri,221,0
Xin Zhao,5,Jinx,222,0
Xin Zhao,5,Tahm Kench,223,0
Xin Zhao,5,Viego,234,0
Xin Zhao,5,Senna,235,0
Xin Zhao,5,Lucian,236,0
Xin Zhao,5,Zed,238,0
Xin Zhao,5,Kled,240,0
Xin Zhao,5,Ekko,245,0
Xin Zhao,5,Qiyana,246,0
Xin Zhao,5,Vi,254,0
Xin Zhao,5,Aatrox,266,0
Xin Zhao,5,Nami,267,0
Xin Zhao,5,Azir,268,0
Xin Zhao,5,Yuumi,350,0
Xin Zhao,5,Samira,360,0
Xin Zhao,5,Thresh,412,0
Xin Zhao,5,Illaoi,420,0
Xin Zhao,5,Rek'Sai,421,0
Xin Zhao,5,Ivern,427,0
Xin Zhao,5,Kalista,429,0
Xin Zhao,5,Bard,432,0
Xin Zhao,5,Rakan,497,0
Xin Zhao,5,Xayah,498,0
Xin Zhao,5,Ornn,516,0
Xin Zhao,5,Sylas,517,0
Xin Zhao,5,Neeko,518,0
Xin Zhao,5,Aphelios,523,0
Xin Zhao,5,Rell,526,0
Xin Zhao,5,Pyke,555,0
Xin Zhao,5,Vex,711,0
Xin Zhao,5,Yone,777,0
Xin Zhao,5,Sett,875,0
Xin Zhao,5,Lillia,876,0
Xin Zhao,5,Gwen,887,0
Xin Zhao,5,Renata Glasc,888,0
Urgot,6,LeBlanc,7,0
Urgot,6,Vladimir,8,0
Urgot,6,Fiddlesticks,9,0
Urgot,6,Kayle,10,0
Urgot,6,Master Yi,11,0
Urgot,6,Alistar,12,0
Urgot,6,Ryze,13,0
Urgot,6,Sion,14,0
Urgot,6,Sivir,15,0
Urgot,6,Soraka,16,0
Urgot,6,Teemo,17,0
Urgot,6,Tristana,18,0
Urgot,6,Warwick,19,0
Urgot,6,Nunu & Willump,20,0
Urgot,6,Miss Fortune,21,0
Urgot,6,Ashe,22,0
Urgot,6,Tryndamere,23,0
Urgot,6,Jax,24,0
Urgot,6,Morgana,25,0
Urgot,6,Zilean,26,0
Urgot,6,Singed,27,0
Urgot,6,Evelynn,28,0
Urgot,6,Twitch,29,0
Urgot,6,Karthus,30,0
Urgot,6,Cho'Gath,31,0
Urgot,6,Amumu,32,0
