,champion1,id1,champion2,id2,combo
711,Xin Zhao,5,Ezreal,81,0
712,Xin Zhao,5,Mordekaiser,82,0
713,Xin Zhao,5,Yorick,83,0
714,Xin Zhao,5,Akali,84,0
715,Xin Zhao,5,Kennen,85,0
716,Xin Zhao,5,Garen,86,0
717,Xin Zhao,5,Leona,89,0
718,Xin Zhao,5,Malzahar,90,0
719,Xin Zhao,5,Talon,91,0
720,Xin Zhao,5,Riven,92,0
721,Xin Zhao,5,Kog'Maw,96,0
722,Xin Zhao,5,Shen,98,0
723,Xin Zhao,5,Lux,99,0
724,Xin Zhao,5,Xerath,101,0
725,Xin Zhao,5,Shyvana,102,0
726,Xin Zhao,5,Ahri,103,0
727,Xin Zhao,5,Graves,104,0
728,Xin Zhao,5,Fizz,105,0
729,Xin Zhao,5,Volibear,106,0
730,Xin Zhao,5,Rengar,107,0
731,Xin Zhao,5,Varus,110,0
732,Xin Zhao,5,Nautilus,111,0
733,Xin Zhao,5,Viktor,112,0
734,Xin Zhao,5,Sejuani,113,0
735,Xin Zhao,5,Fiora,114,0
736,Xin Zhao,5,Ziggs,115,0
737,Xin Zhao,5,Lulu,117,0
738,Xin Zhao,5,Draven,119,0
739,Xin Zhao,5,Hecarim,120,0
740,Xin Zhao,5,Kha'Zix,121,0
741,Xin Zhao,5,Darius,122,0
742,Xin Zhao,5,Jayce,126,0
743,Xin Zhao,5,Lissandra,127,0
744,Xin Zhao,5,Diana,131,0
745,Xin Zhao,5,Quinn,133,0
746,Xin Zhao,5,Syndra,134,0
